dep;vaccin;jour;n_tot_dose1;n_tot_dose2;n_tot_dose3;n_tot_dose4;n_tot_rappel
61;2;2022-02-28;21963;25687;58360;218;63472
61;3;2022-02-28;17121;13789;12;0;7
61;4;2022-02-28;4714;15;1;0;2
61;5;2022-02-28;1152;705;11;0;10
62;1;2022-02-28;894813;890277;617950;3053;676403
62;2;2022-02-28;140384;158449;213971;1068;241515
62;3;2022-02-28;127139;101941;203;0;44
62;4;2022-02-28;23469;78;8;1;21
62;5;2022-02-28;9277;5754;65;0;113
63;1;2022-02-28;395526;395060;276123;1006;296800
63;2;2022-02-28;65409;72105;93895;317;103533
63;3;2022-02-28;51745;40767;39;0;4
63;4;2022-02-28;11061;39;3;0;5
63;5;2022-02-28;2923;1858;13;1;22
64;1;2022-02-28;455532;451932;301566;979;317550
64;2;2022-02-28;48860;53783;96605;393;103843
64;3;2022-02-28;45512;36796;27;0;10
64;4;2022-02-28;9800;45;2;1;12
64;5;2022-02-28;1813;1004;12;0;16
65;1;2022-02-28;150806;149346;95099;241;101387
65;2;2022-02-28;16749;19085;35359;117;38469
65;3;2022-02-28;12105;8949;19;0;8
65;4;2022-02-28;3658;12;1;0;5
65;5;2022-02-28;595;362;7;0;6
66;1;2022-02-28;284505;281118;197161;635;208606
66;2;2022-02-28;47132;50411;60797;217;66617
66;3;2022-02-28;32429;27157;33;0;15
66;4;2022-02-28;10973;81;17;0;37
66;5;2022-02-28;915;543;14;0;15
67;1;2022-02-28;667663;660026;429700;1181;470921
67;2;2022-02-28;122360;134429;182522;602;199463
67;3;2022-02-28;88539;67900;71;0;35
67;4;2022-02-28;18564;79;11;0;37
67;5;2022-02-28;4327;2728;20;0;26
68;1;2022-02-28;429679;420998;255474;616;279789
68;2;2022-02-28;78132;86062;121250;323;134616
68;3;2022-02-28;43326;32448;37;0;27
68;4;2022-02-28;11009;53;9;0;31
68;5;2022-02-28;2573;1661;12;0;24
69;1;2022-02-28;1155646;1112493;647718;2035;740484
69;2;2022-02-28;156364;176728;253623;970;293323
69;3;2022-02-28;114554;84290;122;0;72
69;4;2022-02-28;23889;166;38;0;92
69;5;2022-02-28;6683;3834;48;0;62
70;1;2022-02-28;142180;140466;96128;339;104368
70;2;2022-02-28;21925;24292;32595;94;36024
70;3;2022-02-28;15579;12576;13;0;4
70;4;2022-02-28;3257;5;0;0;3
70;5;2022-02-28;940;552;7;0;8
71;1;2022-02-28;347977;346371;232844;1099;253563
71;2;2022-02-28;45735;52774;79530;334;88527
71;3;2022-02-28;39275;30838;42;0;5
71;4;2022-02-28;10199;27;5;0;8
71;5;2022-02-28;1668;963;13;0;15
72;1;2022-02-28;369798;363284;214627;834;229329
72;2;2022-02-28;44624;54054;113458;411;123824
72;3;2022-02-28;37341;30305;89;0;35
72;4;2022-02-28;8829;40;1;0;14
72;5;2022-02-28;2909;1754;45;0;49
73;1;2022-02-28;290096;278213;140315;592;156878
73;2;2022-02-28;20096;28577;79281;273;89803
73;3;2022-02-28;29210;21879;18;0;8
73;4;2022-02-28;4671;17;2;0;7
73;5;2022-02-28;1305;722;10;0;10
74;1;2022-02-28;496853;469335;234263;790;266013
74;2;2022-02-28;60812;72937;128238;572;147540
74;3;2022-02-28;39448;28557;23;0;14
74;4;2022-02-28;6509;58;8;0;23
74;5;2022-02-28;1464;760;24;0;31
75;1;2022-02-28;1458496;1412544;822878;2577;931968
75;2;2022-02-28;146038;176266;337923;1085;385456
75;3;2022-02-28;150820;101231;114;0;137
75;4;2022-02-28;25141;235;42;0;133
75;5;2022-02-28;8890;4809;61;0;84
76;1;2022-02-28;749825;743870;470740;1597;507706
76;2;2022-02-28;136088;153922;243946;481;268213
76;3;2022-02-28;101103;80601;48;0;12
76;4;2022-02-28;22593;111;57;0;69
76;5;2022-02-28;7781;4748;60;1;77
77;1;2022-02-28;909630;861843;451318;1234;505973
77;2;2022-02-28;69313;91458;215307;754;246902
77;3;2022-02-28;75840;57404;68;0;28
77;4;2022-02-28;15258;120;13;0;76
77;5;2022-02-28;4320;2569;44;0;58
78;1;2022-02-28;875497;841743;474300;1303;522101
78;2;2022-02-28;157302;174617;267544;729;298879
78;3;2022-02-28;87164;64742;86;0;78
78;4;2022-02-28;16801;125;27;1;74
78;5;2022-02-28;6249;3915;32;0;72
79;1;2022-02-28;228397;226874;127098;468;135157
79;2;2022-02-28;42585;49268;98780;203;106593
79;3;2022-02-28;29772;24542;20;0;8
79;4;2022-02-28;7410;21;1;0;9
79;5;2022-02-28;1720;965;8;0;8
80;1;2022-02-28;337909;338450;238926;1041;258114
80;2;2022-02-28;59454;64904;88110;480;97272
80;3;2022-02-28;51153;41855;70;0;17
80;4;2022-02-28;9978;16;0;0;2
80;5;2022-02-28;3015;1845;27;0;29
81;1;2022-02-28;234811;231095;148079;374;159262
81;2;2022-02-28;41130;45087;64060;143;70660
81;3;2022-02-28;23567;17986;18;0;9
81;4;2022-02-28;6465;26;3;0;7
81;5;2022-02-28;778;436;56;2;66
82;1;2022-02-28;162042;159248;94426;263;101209
82;2;2022-02-28;17398;20053;42316;97;46308
82;3;2022-02-28;16350;13530;14;0;6
82;4;2022-02-28;5154;46;3;0;31
82;5;2022-02-28;490;270;10;0;9
83;1;2022-02-28;621821;607690;422761;1371;458017
83;2;2022-02-28;131388;137666;129629;515;148548
83;3;2022-02-28;61631;50885;107;0;91
83;4;2022-02-28;24388;147;26;0;91
83;5;2022-02-28;1585;939;18;0;28
84;1;2022-02-28;341488;329441;203028;742;223170
84;2;2022-02-28;37360;42842;64370;421;74670
84;3;2022-02-28;33866;27909;44;0;23
84;4;2022-02-28;11922;88;20;0;61
84;5;2022-02-28;944;583;10;0;12
85;1;2022-02-28;443145;445366;290823;967;305781
85;2;2022-02-28;74691;84020;139421;483;151086
85;3;2022-02-28;53480;44125;33;0;7
85;4;2022-02-28;14711;28;2;0;4
85;5;2022-02-28;3221;1819;21;0;22
86;1;2022-02-28;265092;266442;170421;631;179300
86;2;2022-02-28;37595;42876;83531;236;89648
86;3;2022-02-28;35574;28549;16;0;6
86;4;2022-02-28;8491;16;1;0;4
86;5;2022-02-28;2077;1248;1;0;3
87;1;2022-02-28;228178;228450;136568;272;142854
87;2;2022-02-28;31164;36225;86229;199;91695
87;3;2022-02-28;33878;27334;25;0;7
87;4;2022-02-28;7157;35;0;0;7
87;5;2022-02-28;1333;692;22;0;17
88;1;2022-02-28;219643;218315;141677;499;154817
88;2;2022-02-28;34819;38876;58791;246;66280
88;3;2022-02-28;26668;21799;16;0;9
